Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-11-16 01:00:47;2018-11-16 08:28:51;84%;7:28;;;0;0
2018-11-18 00:47:05;2018-11-18 08:30:10;92%;7:43;;;0;0
2018-11-19 00:40:50;2018-11-19 08:30:07;80%;7:49;;;0;0
2018-11-20 01:03:36;2018-11-20 08:30:17;82%;7:26;;;0;0
2018-11-21 00:49:41;2018-11-21 08:30:51;79%;7:41;;;0;0
2018-11-21 23:57:42;2018-11-22 08:30:10;93%;8:32;;;0;0
2018-11-23 01:55:13;2018-11-23 08:27:31;67%;6:32;;;0;0
2018-11-26 00:50:36;2018-11-26 08:30:44;84%;7:40;;;0;0
2018-11-27 00:50:49;2018-11-27 08:30:20;85%;7:39;;;0;0
2018-11-28 00:52:31;2018-11-28 08:29:51;77%;7:37;;;0;0
2018-11-28 23:55:23;2018-11-29 08:00:15;84%;8:04;;;0;0
2018-11-30 01:34:19;2018-11-30 07:38:56;42%;6:04;;;0;0
2018-12-01 00:33:38;2018-12-01 08:30:09;96%;7:56;;;0;0
2018-12-02 00:44:56;2018-12-02 08:29:59;82%;7:45;;;0;0
2018-12-03 01:03:33;2018-12-03 08:30:14;73%;7:26;;;0;0
